no real user sys rows
568 0.006 0.005 0 0
569 0.006 0.005 0 0
570 0.007 0 0.005 0
571 0.006 0 0.005 0
572 0.007 0.005 0 1
573 0.008 0.003 0.002 0
574 0.007 0.005 0 0
575 0.006 0.005 0 0
576 0.007 0 0.005 0
577 0.006 0 0.005 0
578 0.009 0 0.005 1
579 0.006 0.005 0 0
580 0.007 0 0.005 0
581 0.006 0 0.005 0
582 0.006 0 0.005 0
583 0.007 0.005 0 1
584 0.011 0 0.004 0
585 0.006 0 0.005 0
586 0.006 0.005 0 0
587 0.006 0.005 0 0
588 0.007 0.005 0 0
589 0.006 0.005 0 0
590 0.007 0.005 0 0
591 0.007 0.005 0 0
592 0.007 0.005 0 0
593 0.008 0 0.005 0
594 0.006 0.005 0 0
595 0.006 0.005 0 1
596 0.006 0 0.005 1
597 0.007 0.005 0 0
598 0.006 0.005 0 0
599 0.006 0.005 0 1
600 0.007 0.005 0 1
601 0.007 0.005 0 0
602 0.006 0.005 0 0
603 0.006 0.005 0 0
604 0.007 0.005 0 1
605 0.006 0 0.005 0
606 0.006 0.005 0 0
607 0.007 0 0.005 0
608 0.006 0.005 0 0
609 0.008 0.005 0 0
610 0.007 0.005 0 0
611 0.006 0.005 0 0
612 0.006 0.003 0.003 1
613 0.007 0.005 0 0
614 0.007 0 0.005 0
615 0.006 0.005 0 0
616 0.007 0 0.005 1
617 0.006 0 0.005 0
618 0.007 0.003 0.002 0
619 0.006 0.005 0 0
620 0.006 0 0.005 0
621 0.006 0.005 0 0
622 0.007 0.005 0 0
623 0.007 0.005 0 0
624 0.006 0.003 0.003 0
625 0.008 0.005 0 0
626 0.007 0.005 0 0
627 0.006 0 0.005 0
628 0.008 0.005 0 0
629 0.008 0.005 0 0
630 0.006 0.005 0 1
631 0.007 0.003 0.002 0
632 0.006 0.003 0.002 0
633 0.006 0.005 0 0
634 0.006 0.005 0 0
635 0.006 0.005 0 1
636 0.007 0.005 0 0
637 0.006 0.005 0 0
638 0.007 0 0.005 0
639 0.008 0.003 0.002 0
640 0.006 0.002 0.003 0
641 0.007 0 0.005 0
642 0.006 0.005 0 0
643 0.006 0.005 0 0
644 0.008 0.005 0 1
645 0.006 0.005 0 0
646 0.007 0.005 0 0
647 0.008 0 0.005 0
648 0.014 0.006 0 0
649 0.006 0.003 0.003 0
650 0.008 0 0.005 1
651 0.009 0 0.005 1
652 0.007 0.003 0.003 0
653 0.008 0.005 0 1
654 0.008 0.005 0 1
655 0.007 0.006 0 0
656 0.007 0.006 0 0
657 0.006 0.005 0 0
658 0.006 0.003 0.003 0
659 0.013 0.005 0 0
660 0.006 0.003 0.002 0
661 0.007 0.005 0 0
662 0.013 0 0.005 0
663 0.007 0.003 0.003 0
664 0.006 0.005 0 0
665 0.006 0.005 0 0
666 0.007 0.005 0 0
667 0.007 0 0.005 0
668 0.006 0.005 0 0
669 0.006 0.005 0 0
670 0.007 0.005 0 1
671 0.006 0.005 0 0
672 0.006 0.005 0 0
673 0.007 0.005 0 0
674 0.006 0 0.005 0
675 0.006 0.005 0 0
676 0.008 0.004 0 0
677 0.008 0.004 0 0
678 0.007 0.005 0 0
679 0.006 0.005 0 0
